Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.00283980698191E-09,5.37260734512213E-09,0.0004696376772092,0,0,0,0.326547449294338,0.000391289335637491,2.91015127306445E-12,-4.83180864568021E-14,0.000178962951205194,-2.65253578582664E-11,0.000422717056040505,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,khung-1/Part1-2;khung-1/Part1-1;khung-1/Part116-1;khung-1/Part116_1-1;khung-1/dau_noi-2;khung-1/Part1-4;khung-1/Part1-3;khung-1/dau_noi-1;Right_foot_bacl-1/mg996R_v2.step-2;left_foot_back-1/mg996R_v2.step-3;right_foot_after-1/mg996R_v2.step-3;left_foot_after-1/mg996R_v2.step-1,CS_BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_RF,0.01043789785135,-0.00182747499403901,0.0298079563378445,0,0,0,0.0691270911282823,1.61354149984616E-05,-3.48903802767794E-07,4.23730756674166E-08,1.15235644013864E-05,-3.1805580390817E-09,1.0322138370621E-05,0,0,0,0,0,0,package://URDF/meshes/hip_RF.STL,1,0,0,1,0,0,0,0,0,0,package://URDF/meshes/hip_RF.STL,,right_foot_after-1/SERVO ARM HORN 25T ALUMINIUM.step-2;right_foot_after-1/Part40-1;right_foot_after-1/mg996R_v2.step-1;right_foot_after-1/Part79-1;right_foot_after-1/mg996R_v2.step-2,Joint1_RF,Axis1_RF,Joint1_RF,revolute,-0.0449999975183671,-0.0954992296169629,0.00938098015422906,1.5707963267949,1.5707963267949,0,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_RF,0.032280431807894,-0.0236802430912848,0.0104420535363001,0,0,0,0.013651926085773,5.5204154247523E-06,6.54647969104011E-06,-1.79176256301231E-07,9.6200206165967E-06,1.3165139076472E-07,1.46391765309724E-05,0,0,0,0,0,0,package://URDF/meshes/Thigh_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Thigh_RF.STL,,right_foot_after-1/Part75-1;right_foot_after-1/Servo disc-1,Joint2_RF,Axis2_RF,Joint2_RF,revolute,-0.00173667361422397,-0.0254384909655809,0.0198618942938599,1.5707963267949,0,-0.0746977131182897,hip_RF,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Calf_RF,0.0373951602098321,0.0424247926702395,0.00939524740905079,0,0,0,0.00886601436486069,1.05947647712127E-05,-7.05915122656913E-06,-2.68979687283937E-07,5.54566523908732E-06,-3.43790171996494E-07,1.54522767088771E-05,0,0,0,0,0,0,package://URDF/meshes/Calf_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Calf_RF.STL,,right_foot_after-1/Part78-1,Joint3_RF,Axis3_RF,Joint3_RF,revolute,0.0805856649939703,-0.0591729658721312,0.00130000000000041,0,0,0,Thigh_RF,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Foot_RF,-0.00583271260362817,-6.02953798001238E-12,0.000153322639481396,0,0,0,0.00230350114254969,2.28786125493708E-07,8.28931133524343E-17,3.24629206116933E-11,1.24696640412666E-07,-8.68398944225259E-15,1.62073483970147E-07,0,0,0,0,0,0,package://URDF/meshes/Foot_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Foot_RF.STL,,right_foot_after-1/foot-2,Foot_RF,Axis4_RF,Joint4_RF,fixed,0.0849986200651742,0.0827272177698522,0.00992243475665372,0,0,0.0695608286554116,Calf_RF,0,0,0,,,,,,,,,,,,
Hip_LB,0.0105452258430738,-0.00104424135186948,0.0298079668931553,0,0,0,0.0691271457278031,1.61616629119539E-05,-1.80295208678471E-09,4.24922638135225E-08,1.14973259921799E-05,-9.42833085901119E-12,1.03221479885146E-05,0,0,0,0,0,0,package://URDF/meshes/Hip_LB.STL,1,0,0,1,0,0,0,0,0,0,package://URDF/meshes/Hip_LB.STL,,left_foot_back-1/SERVO ARM HORN 25T ALUMINIUM.step-1;left_foot_back-1/Part40-1;left_foot_back-1/mg996R_v2.step-2;left_foot_back-1/Part79-1;left_foot_back-1/mg996R_v2.step-1,Joint1_LB,Axis1_LB,Joint1_LB,revolute,0.0449999975183657,0.0954992296169666,0.00938098015422961,-1.57079632679533,1.51781885809782,0,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_LB,0.0324139783823418,0.0234973998967534,0.010442053925429,0,0,0,0.0136519261569896,5.44654101193738E-06,-6.52288913271812E-06,-1.79917384009864E-07,9.69389504682865E-06,-1.30636531831865E-07,1.46391765806164E-05,0,0,0,0,0,0,package://URDF/meshes/Thigh_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Thigh_LB.STL,,left_foot_back-1/Part75-1;left_foot_back-1/Servo disc-1,Joint2_LB,Axis2_LB,Joint2_LB,revolute,0.000166657436375506,-0.0254979846657288,0.0399381057240706,1.57079632679489,0,0,Hip_LB,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Calf_LB,0.0373755291685387,-0.0424425417626215,0.00939531674951682,0,0,0,0.00886593782689565,1.06012768805217E-05,7.0567330024193E-06,-2.68802188499202E-07,5.53902340071791E-06,3.43894193393527E-07,1.54521587443384E-05,0,0,0,0,0,0,package://URDF/meshes/Calf_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Calf_LB.STL,,left_foot_back-1/MirrorPart78-1,Joint3_LB,Axis3_LB,Joint3_LB,revolute,0.0809190598674842,0.0587165140777625,0.00130000001784963,0,0,0,Thigh_LB,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Foot_LB,-0.00583271259474122,8.96259455540616E-12,-0.00015332264911988,0,0,0,0.00230350113970975,2.28786125140657E-07,-1.39383496295674E-16,-3.24629447166463E-11,1.24696640031777E-07,-8.67863308878992E-15,1.62073483866643E-07,0,0,0,0,0,0,package://URDF/meshes/Foot_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Foot_LB.STL,,left_foot_back-1/foot-2,Foot_LB,Axis4_LB,Joint4_LB,fixed,0.0849599453223677,-0.0827669358122232,0.0102631627484333,0,0,-0.0700282136507758,Calf_LB,0,0,0,,,,,,,,,,,,
Hip_RB,0.0105452718057615,0.00104790647181918,0.0298079669074503,0,0,0,0.0691271472886633,1.61616629716149E-05,-1.80294882701865E-09,4.24935928374082E-08,1.14973260843965E-05,-9.42672034285841E-12,1.03221481331905E-05,0,0,0,0,0,0,package://URDF/meshes/Hip_RB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF/meshes/Hip_RB.STL,,Right_foot_bacl-1/Part40-1;Right_foot_bacl-1/SERVO ARM HORN 25T ALUMINIUM.step-1;Right_foot_bacl-1/mg996R_v2.step-1;Right_foot_bacl-1/Part79-1;Right_foot_bacl-1/mg996R_v2.step-3,Joint1_RB,Axis1_RB,Joint1_RB,revolute,-0.0450000024816331,0.0954992296169642,0.00938098015422933,-1.57079632679485,1.55110721336966,0,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
