Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.45163119991932E-09,7.06131713518188E-09,0.000469638601296729,0,0,0,0.32654744983969,0.00039128933651843,2.94366243586261E-12,-1.13557370429694E-14,0.000178962951369752,-2.64642012362533E-11,0.000422717056792484,0,0,0,0,0,0,package://URDF_1/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/base_link.STL,,khung-1/Part1-2;khung-1/Part1-1;khung-1/Part116-1;khung-1/Part116_1-1;khung-1/dau_noi-2;khung-1/Part1-4;khung-1/Part1-3;khung-1/dau_noi-1;Right_foot_bacl-1/mg996R_v2.step-2;left_foot_back-1/mg996R_v2.step-3;right_foot_after-1/mg996R_v2.step-3;left_foot_after-1/mg996R_v2.step-1,CS_BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_RF,0.0103300131276021,-0.00236050016605652,0.029807952612241,0,0,0,0.0691270911890896,1.60873094204347E-05,-5.84187787642763E-07,4.21531537123514E-08,1.1571669938581E-05,-5.35798944978556E-09,1.03221383293388E-05,0,0,0,0,0,0,package://URDF_1/meshes/hip_RF.STL,1,0,0,1,0,0,0,0,0,0,package://URDF_1/meshes/hip_RF.STL,,right_foot_after-1/SERVO ARM HORN 25T ALUMINIUM.step-2;right_foot_after-1/Part40-1;right_foot_after-1/mg996R_v2.step-1;right_foot_after-1/Part79-1;right_foot_after-1/mg996R_v2.step-2,Joint1_RF,Axis1_RF,Joint1_RF,revolute,-0.0449999990053749,-0.0954992291155026,0.00938098000774029,1.57079632800763,1.5707963267949,0,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_RF,0.0331166133623511,-0.022498006276331,0.0104420535274953,0,0,0,0.0136519261061882,5.05284929892426E-06,6.38129624308877E-06,-1.83817581921051E-07,1.00875867480176E-05,1.2508924082245E-07,1.46391765367413E-05,0,0,0,0,0,0,package://URDF_1/meshes/Thigh_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Thigh_RF.STL,,right_foot_after-1/Part75-1;right_foot_after-1/Servo disc-1,Joint2_RF,Axis2_RF,Joint2_RF,revolute,-0.00304406186672296,-0.0253133727377505,0.0198618943689335,1.5707963267949,0,-0.126207137233731,hip_RF,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Calf_RF,0.039540064855364,0.0404332064585719,0.00939524697025501,0,0,0,0.00886601522787845,9.85177034364646E-06,-7.28224128736067E-06,-2.86406647323465E-07,6.28866080317315E-06,-3.29413300656583E-07,1.54522777424201E-05,0,0,0,0,0,0,package://URDF_1/meshes/Calf_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Calf_RF.STL,,right_foot_after-1/Part78-1,Joint3_RF,Axis3_RF,Joint3_RF,revolute,0.0826731320829293,-0.0562215942551578,0.00130000015939194,0,0,0,Thigh_RF,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Foot_RF,-0.00583271207371466,8.32809238238141E-10,0.000153322583618179,0,0,0,0.00230350114184203,2.28786125408295E-07,-1.96361126256425E-16,3.24629289149191E-11,1.24696640318976E-07,-8.67255532960835E-15,1.62073483944388E-07,0,0,0,0,0,0,package://URDF_1/meshes/Foot_RF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Foot_RF.STL,,right_foot_after-1/foot-2,Foot_RF,Axis4_RF,Joint4_RF,fixed,0.0891649502501446,0.0782187293415921,0.00992243475665497,0,0,0.0177993522340094,Calf_RF,0,0,0,,,,,,,,,,,,
Hip_LB,0.0105447526495833,-0.00105257491112548,0.0298079695316534,0,0,0,0.0691271451331567,1.61616628485017E-05,-1.80291849208032E-09,4.24922338562263E-08,1.14973257658433E-05,-9.44030438112242E-12,1.03221476979768E-05,0,0,0,0,0,0,package://URDF_1/meshes/Hip_LB.STL,1,0,0,1,0,0,0,0,0,0,package://URDF_1/meshes/Hip_LB.STL,,left_foot_back-1/SERVO ARM HORN 25T ALUMINIUM.step-1;left_foot_back-1/Part40-1;left_foot_back-1/mg996R_v2.step-2;left_foot_back-1/Part79-1;left_foot_back-1/mg996R_v2.step-1,Joint1_LB,Axis1_LB,Joint1_LB,revolute,0.0449999967362847,0.0954992300103887,0.009380981274699,1.57079628324533,1.40431060818658,3.14159260942963,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_LB,0.039939,0.0030336,0.010442,0,0,0,0.013652,7.91E-07,-1.049E-06,-2.2169E-07,1.4349E-05,-1.705E-08,1.4639E-05,0,0,0,0,0,0,package://URDF_1/meshes/Thigh_LB.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF_1/meshes/Thigh_LB.STL,,left_foot_back-1/Part75-1;left_foot_back-1/Servo disc-1,Joint2_LB,Axis2_LB,Joint2_LB,revolute,0.000166183759488514,-0.0255063180457349,0.0399381057123354,1.5707963267949,0,0,Hip_LB,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Calf_LB,0.0445338784719274,-0.0348569483569772,0.00939526528387763,0,0,0,0.00886599176378451,7.88287947495784E-06,7.49463599289693E-06,-3.27396776616415E-07,8.25750643837627E-06,2.88695473491359E-07,1.54522359887978E-05,0,0,0,0,0,0,package://URDF_1/meshes/Calf_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Calf_LB.STL,,left_foot_back-1/MirrorPart78-1,Joint3_LB,Axis3_LB,Joint3_LB,revolute,0.0997055503615685,0.00763018747714993,0.00130000001065278,0,0,0,Thigh_LB,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
Foot_LB,-0.00583271273119668,-7.55717835532188E-10,-0.000153322637857278,0,0,0,0.00230350113779985,2.28786124921254E-07,1.82379717533276E-16,-3.24629530106639E-11,1.24696639794072E-07,-8.68323399060686E-15,1.62073483804378E-07,0,0,0,0,0,0,package://URDF_1/meshes/Foot_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Foot_LB.STL,,left_foot_back-1/foot-2,Foot_LB,Axis4_LB,Joint4_LB,fixed,0.0987143958873673,-0.0657573267211811,0.0102631627484327,0,0,0.114659882597004,Calf_LB,0,0,0,,,,,,,,,,,,
Hip_RB,0.0105452609176706,0.00104594084884074,0.0298079699337593,0,0,0,0.069127145268005,1.61616628620183E-05,-1.80294693173817E-09,4.24935621654107E-08,1.14973257965861E-05,-9.42821987238999E-12,1.03221477460484E-05,0,0,0,0,0,0,package://URDF_1/meshes/Hip_RB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://URDF_1/meshes/Hip_RB.STL,,Right_foot_bacl-1/Part40-1;Right_foot_bacl-1/SERVO ARM HORN 25T ALUMINIUM.step-1;Right_foot_bacl-1/mg996R_v2.step-1;Right_foot_bacl-1/Part79-1;Right_foot_bacl-1/mg996R_v2.step-3,Joint1_RB,Axis1_RB,Joint1_RB,revolute,-0.0450000037192648,0.0954992301195679,0.00938098156076461,1.57079610030804,1.53892626120084,3.14159242600521,base_link,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
