Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.165469810038744,-0.470844613530659,0.264323367068224,0,0,0,0.326547449294338,0.00022012543357599,-3.25157823040541E-05,8.53231325640009E-05,0.000389271626814517,4.17514131573423E-06,0.000383572282492682,0,0,0,0,0,0,package://final/meshes/base_link.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://final/meshes/base_link.STL,,right_foot_after-1/mg996R_v2.step-3;khung-1/Part1-2;left_foot_after-1/mg996R_v2.step-1;khung-1/Part116_1-1;khung-1/Part116-1;khung-1/dau_noi-2;khung-1/Part1-1;Right_foot_bacl-1/mg996R_v2.step-2;left_foot_back-1/mg996R_v2.step-3;khung-1/dau_noi-1;khung-1/Part1-4;khung-1/Part1-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_LF,0.0104971925588967,0.00114288562998305,0.0298079595716109,0,0,0,0.0691270861873928,1.61613061385546E-05,4.07103755748429E-08,4.24918568404357E-08,1.14976725928124E-05,3.77855287804916E-10,1.03221377280626E-05,0,0,0,0,0,0,package://final/meshes/hip_LF.STL,1,0,0,1,0,0,0,0,0,0,package://final/meshes/hip_LF.STL,,left_foot_after-1/SERVO ARM HORN 25T ALUMINIUM.step-1;left_foot_after-1/Part40-1;left_foot_after-1/mg996R_v2.step-2;left_foot_after-1/Part79-1;left_foot_after-1/mg996R_v2.step-3,Joint1_LF,Axis1_LF,Joint1_LF,revolute,0.0828037089815861,-0.530142263822002,0.293885901306255,-0.705882033003174,1.04313880299812,2.52448464320818,base_link,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_LF,0.036049231921557,0.0174653680299302,0.0104420538930677,0,0,0,0.0136519262084262,3.31852020596152E-06,-5.38341455745804E-06,-2.00095276413535E-07,1.18219158680877E-05,-9.69435485882886E-08,1.46391765955793E-05,0,0,0,0,0,0,package://final/meshes/Thigh_LF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/Thigh_LF.STL,,left_foot_after-1/Servo disc-1;left_foot_after-1/Part75-1,Joint2_LF,Axis2_LF,Joint2_LF,revolute,-0.000103830202143829,0.0255001128999754,0.0199,-1.5707963267949,0,0.00911492757548553,hip_LF,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Calf_LF,0.0401260987407683,-0.0414799951379243,-0.00647647599601348,0,0,0,0.00886599216069645,9.68776339211572E-06,7.17637478350545E-06,-1.47510177478865E-06,6.79566543555589E-06,1.75269858466389E-06,1.51091944254587E-05,0,0,0,0,0,0,package://final/meshes/Calf_LF.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://final/meshes/Calf_LF.STL,,left_foot_after-1/MirrorPart78-1,Joint3_LF,Axis3_LF,Joint3_LF,revolute,0.0899941947746462,0.0436009736916917,0.0238999999999975,0.155925725989217,0.0091149275754857,0,Thigh_LF,0.00911480136175463,-0.155288209919299,-0.987827157075667,1.5,6,-1.57,1.57,,,,,,,,
hip_LB,0.0105579816568965,-0.000156117223233665,0.0298079671863085,0,0,0,0.0691271473745254,1.61287699978789E-05,3.90314406760061E-07,4.23415723559279E-08,1.15302191337999E-05,3.57533857898668E-09,1.03221482000155E-05,0,0,0,0,0,0,package://final/meshes/hip_LB.STL,1,0,0,1,0,0,0,0,0,0,package://final/meshes/hip_LB.STL,,left_foot_back-1/SERVO ARM HORN 25T ALUMINIUM.step-1;left_foot_back-1/Part40-1;left_foot_back-1/mg996R_v2.step-2;left_foot_back-1/mg996R_v2.step-1;left_foot_back-1/Part79-1,Joint1_LB,Axis1_LB,Joint1_LB,revolute,0.256926339687758,-0.50176821300437,0.220696871077039,2.43571062058662,1.04313880299812,2.52448464320818,base_link,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_LB,0.0326193945591627,0.0232499739951309,0.0104420540124198,0,0,0,0.0136519260871885,5.33231907163393E-06,-6.48458904036276E-06,-1.81057556490647E-07,9.80811696276222E-06,-1.29051654755524E-07,1.46391765553137E-05,0,0,0,0,0,0,package://final/meshes/Thigh_LB.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/Thigh_LB.STL,,left_foot_back-1/Servo disc-1;left_foot_back-1/Part75-1,Joint2_LB,Axis2_LB,Joint2_LB,revolute,0.0022793837699181,-0.0253982468305898,0.0398999999999235,1.5707963267949,0,0.0844627326260078,hip_LB,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Calf_LB,0.0434144582663147,-0.0362416645314376,-0.0132047342874759,0,0,0,0.00886599097543363,8.35490060908495E-06,7.49156789837758E-06,-3.18145822091588E-07,7.7854842397686E-06,2.98859091222109E-07,1.54522350147211E-05,0,0,0,0,0,0,package://final/meshes/Calf_LB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://final/meshes/Calf_LB.STL,,left_foot_back-1/MirrorPart78-1,joint3_LB,Axis3_LB,Joint3_LB,revolute,0.0814318625004756,0.0580418106742034,0.0239000001006261,0,0,0,Thigh_LB,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
hip_RB,0.0105152983393906,0.000962152057977783,0.0298079667384993,0,0,0,0.0691271481987827,1.61613287839617E-05,-3.95223532318152E-08,4.24921379767024E-08,1.14976603948052E-05,-3.53079302811498E-10,1.03221482475351E-05,0,0,0,0,0,0,package://final/meshes/hip_RB.STL,1,0,0,1,0,0,0,0,0,0,package://final/meshes/hip_RB.STL,,Right_foot_bacl-1/SERVO ARM HORN 25T ALUMINIUM.step-1;Right_foot_bacl-1/Part40-1;Right_foot_bacl-1/mg996R_v2.step-1;Right_foot_bacl-1/Part79-1;Right_foot_bacl-1/mg996R_v2.step-3,Joint1_RB,Axis1_RB,Joint1_RB,revolute,0.255423331114134,-0.416717792411357,0.250093587257239,2.43571062058662,1.04313880299812,2.52448464320818,base_link,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Thigh_RB,-0.0297626679191992,0.0268098822119125,0.0104420535448091,0,0,0,0.0136519260994359,6.8560637163697E-06,6.82261464884229E-06,1.65201136341496E-07,8.28437233088175E-06,-1.48811299803602E-07,1.46391765371017E-05,0,0,0,0,0,0,package://final/meshes/Thigh_RB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://final/meshes/Thigh_RB.STL,,Right_foot_bacl-1/Part75-1;Right_foot_bacl-1/Servo disc-1,Joint2_RB,Axis2_RB,Joint2_RB,revolute,0.000334819020600619,0.0254981261046049,0.039899999999996,1.57079632679489,0,3.13350548107536,hip_RB,0,0,1,1.5,6,-1.57,1.57,,,,,,,,
Calf_RB,-0.0280790707628065,-0.0490900191801899,-0.0132047471017608,0,0,0,0.00886600238835247,1.3176333780791E-05,-5.4892896357985E-06,1.94184703758847E-07,2.96407841651688E-06,3.90936953356937E-07,1.54522604831644E-05,0,0,0,0,0,0,package://final/meshes/Calf_RB.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://final/meshes/Calf_RB.STL,,Right_foot_bacl-1/Part78-1,Joint3_RB,Axis3_RB,Joint3_RB,revolute,-0.0743002608384791,0.0669288520694507,0.0238999999999875,0,0,0,Thigh_RB,0,0,-1,1.5,6,-1.57,1.57,,,,,,,,
