"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C2","2","22pF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C3,C6,C7,C8,C12,C13,C14,C15,C16,C17,C18,C19,C22,C23,C25,C27,C28,C31,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C52,C53,C54,C56,C57,C64","39","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C4,C5","2","2.2uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C10","1","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"C11,C26,C50","3","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C20,C24","2","1nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C21","1","4.7uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C30,C49,C51","3","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:CP_Elec_8x10",""
"C32","1","200uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder",""
"C33,C58,C60,C61,C62,C63","6","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder",""
"C55","1","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
"C59","1","10nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0805_2012Metric",""
